strain,date,S1_mutations,clade_membership,country,current_frequency,division,emerging_lineage,epiweek,genbank_accession,host,mutational_fitness,pango_lineage,recency,region,url,author,accession,originating_lab,submitting_lab,logistic_growth
IND/553MN908947.3/2021,9/25/2021,5,21J (Delta),India,0,India,B.1.617.2 (Delta),202138,OK356452,Homo sapiens,1.06,B.1.617.2,One month ago,Asia,,Nair et al V,,,,2.31
NZL/21MV0667/2021,8/7/2021,8,21J (Delta),New Zealand,0,New Zealand,B.1.617.2 (Delta),202131,OK433689,Homo sapiens,1.15,B.1.617.2,One month ago,Oceania,,Ren et al KP,,PathLab Bay of Plenty,Institute of Environmental Science and Research,
NZL/21MV0658/2021,8/7/2021,8,21J (Delta),New Zealand,0,New Zealand,B.1.617.2 (Delta),202131,OK433749,Homo sapiens,1.15,B.1.617.2,One month ago,Oceania,,Ren et al KQ,,PathLab Bay of Plenty,Institute of Environmental Science and Research,
NZL/21MV0661/2021,8/7/2021,8,21J (Delta),New Zealand,0,New Zealand,B.1.617.2 (Delta),202131,OK433473,Homo sapiens,1.15,B.1.617.2,One month ago,Oceania,,Ren et al KR,,PathLab Bay of Plenty,Institute of Environmental Science and Research,
NZL/21MV0662/2021,8/7/2021,8,21J (Delta),New Zealand,0,New Zealand,B.1.617.2 (Delta),202131,OK433472,Homo sapiens,1.15,B.1.617.2,One month ago,Oceania,,Ren et al KS,,PathLab Bay of Plenty,Institute of Environmental Science and Research,
BHR/342322718/2021,6/30/2021,8,21J (Delta),Bahrain,,Bahrain,B.1.617.2 (Delta),202126,MZ683357,Homo sapiens,1.1,AY.23,Older,Asia,,Alwasti et al EU,,,,
HongKong/HKPU-00192/2021,6/21/2021,8,21J (Delta),Hong Kong,,Hong Kong,B.1.617.2 (Delta),202125,OK326760,Homo sapiens,1.18,AY.23,One month ago,Asia,,Siu et al Z,,,,
NZL/21MV0571/2021,7/5/2021,7,21J (Delta),New Zealand,,New Zealand,B.1.617.2 (Delta),202127,OK433432,Homo sapiens,1.16,AY.23,One month ago,Oceania,,Ren et al KT,,Middlemore Hospital,Institute of Environmental Science and Research,
NZL/21CV0221/2021,7/13/2021,7,21J (Delta),New Zealand,,New Zealand,B.1.617.2 (Delta),202128,OK433641,Homo sapiens,1.16,AY.23,One month ago,Oceania,,Ren et al KU,,Wellington SCL (WN),Institute of Environmental Science and Research,
NZL/21CV0225/2021,7/13/2021,7,21J (Delta),New Zealand,,New Zealand,B.1.617.2 (Delta),202128,OK433462,Homo sapiens,1.16,AY.23,One month ago,Oceania,,Ren et al KV,,Wellington SCL (WN),Institute of Environmental Science and Research,
NZL/21CV0231/2021,7/13/2021,7,21J (Delta),New Zealand,,New Zealand,B.1.617.2 (Delta),202128,OK433613,Homo sapiens,1.16,AY.23,One month ago,Oceania,,Ren et al KW,,Wellington SCL (WN),Institute of Environmental Science and Research,
Switzerland/BL-ETHZ-34002925/2021,9/6/2021,7,21J (Delta),Switzerland,0,Basel-Land,B.1.617.2 (Delta),202136,OU849145,Homo sapiens,1.04,AY.23,One week ago,Europe,,? DP,,"Viollier AG; Hagmattstrasse 14, 4123 Allschwil",ETH ZURICH D-BSSE,2.31
OU857874,9/13/2021,7,21J (Delta),Slovakia,0,Slovakia,B.1.617.2 (Delta),202137,OU857874,Homo sapiens,1.16,AY.23,One week ago,Europe,,? N,,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",2.31
Switzerland/BL-ETHZ-34319909/2021,10/3/2021,8,21J (Delta),Switzerland,0,Basel-Land,B.1.617.2 (Delta),202140,OU902896,Homo sapiens,1.16,,1-2 days ago,Europe,,? DQ,,,,2.31
NZL/21MV0612/2021,7/17/2021,7,21J (Delta),New Zealand,,New Zealand,B.1.617.2 (Delta),202128,OK433375,Homo sapiens,1.16,AY.23,One month ago,Oceania,,Ren et al KX,,LabTests,Institute of Environmental Science and Research,
NZL/21CH0058/2021,7/19/2021,7,21J (Delta),New Zealand,,New Zealand,B.1.617.2 (Delta),202129,OK433460,Homo sapiens,1.17,AY.23,One month ago,Oceania,,Ren et al KY,,Southern Community Labs Dunedin,Institute of Environmental Science and Research,
NZL/21CH0064/2021,7/19/2021,7,21J (Delta),New Zealand,,New Zealand,B.1.617.2 (Delta),202129,OK433335,Homo sapiens,1.17,AY.23,One month ago,Oceania,,Ren et al KZ,,Southern Community Labs Dunedin,Institute of Environmental Science and Research,
NZL/21CH0061/2021,7/19/2021,7,21J (Delta),New Zealand,,New Zealand,B.1.617.2 (Delta),202129,OK433452,Homo sapiens,1.17,AY.23,One month ago,Oceania,,Ren et al LA,,Southern Community Labs Dunedin,Institute of Environmental Science and Research,
NZL/21CH0069/2021,7/21/2021,7,21J (Delta),New Zealand,,New Zealand,B.1.617.2 (Delta),202129,OK433591,Homo sapiens,1.17,AY.23,One month ago,Oceania,,Ren et al LB,,Southern Community Labs Dunedin,Institute of Environmental Science and Research,
NZL/21CH0062/2021,7/19/2021,7,21J (Delta),New Zealand,,New Zealand,B.1.617.2 (Delta),202129,OK433608,Homo sapiens,1.17,AY.23,One month ago,Oceania,,Ren et al LC,,Southern Community Labs Dunedin,Institute of Environmental Science and Research,
NZL/21CH0056/2021,7/19/2021,7,21J (Delta),New Zealand,,New Zealand,B.1.617.2 (Delta),202129,OK433584,Homo sapiens,1.17,AY.23,One month ago,Oceania,,Ren et al LD,,Southern Community Labs Dunedin,Institute of Environmental Science and Research,
NZL/21CH0059/2021,7/19/2021,7,21J (Delta),New Zealand,,New Zealand,B.1.617.2 (Delta),202129,OK433469,Homo sapiens,1.17,AY.23,One month ago,Oceania,,Ren et al LE,,Southern Community Labs Dunedin,Institute of Environmental Science and Research,
NZL/21CH0063/2021,7/19/2021,7,21J (Delta),New Zealand,,New Zealand,B.1.617.2 (Delta),202129,OK433518,Homo sapiens,1.17,AY.23,One month ago,Oceania,,Ren et al LF,,Southern Community Labs Dunedin,Institute of Environmental Science and Research,
NZL/21CH0057/2021,7/19/2021,7,21J (Delta),New Zealand,,New Zealand,B.1.617.2 (Delta),202129,OK433347,Homo sapiens,1.17,AY.23,One month ago,Oceania,,Ren et al LG,,Southern Community Labs Dunedin,Institute of Environmental Science and Research,
NZL/21CH0060/2021,7/19/2021,7,21J (Delta),New Zealand,,New Zealand,B.1.617.2 (Delta),202129,OK433596,Homo sapiens,1.17,AY.23,One month ago,Oceania,,Ren et al LH,,Southern Community Labs Dunedin,Institute of Environmental Science and Research,
NZL/21CH0065/2021,7/20/2021,7,21J (Delta),New Zealand,,New Zealand,B.1.617.2 (Delta),202129,OK433291,Homo sapiens,1.17,AY.23,One month ago,Oceania,,Ren et al LI,,Southern Community Labs Dunedin,Institute of Environmental Science and Research,
NZL/21CH0068/2021,7/21/2021,7,21J (Delta),New Zealand,,New Zealand,B.1.617.2 (Delta),202129,OK433323,Homo sapiens,1.17,AY.23,One month ago,Oceania,,Ren et al LJ,,Southern Community Labs Dunedin,Institute of Environmental Science and Research,
NZL/21CH0070/2021,7/22/2021,7,21J (Delta),New Zealand,,New Zealand,B.1.617.2 (Delta),202129,OK433575,Homo sapiens,1.17,AY.23,One month ago,Oceania,,Ren et al LK,,Southern Community Labs Dunedin,Institute of Environmental Science and Research,
Scotland/QEUH-1D7100A/2021,9/2/2021,7,21J (Delta),United Kingdom,0,Scotland,B.1.617.2 (Delta),202135,OU681531,Homo sapiens,1.15,B.1.617.2,Older,Europe,,VanSteenhouse et al B,,Lighthouse Lab in Glasgow,Wellcome Sanger Institute,2.32
England/ALDP-1FB88C1/2021,9/27/2021,8,21J (Delta),United Kingdom,0,England,B.1.617.2 (Delta),202139,OU793641,Homo sapiens,1.15,B.1.617.2,One month ago,Europe,,Wynn et al B,,Lighthouse Lab in Alderley Park,Wellcome Sanger Institute,2.32
England/QEUH-18BA495/2021,7/8/2021,7,21J (Delta),United Kingdom,,England,B.1.617.2 (Delta),202127,OU432527,Homo sapiens,1.17,B.1.617.2,Older,Europe,,VanSteenhouse et al B,,Lighthouse Lab in Glasgow,Wellcome Sanger Institute,
Scotland/QEUH-17C7812/2021,6/25/2021,8,21J (Delta),United Kingdom,,Scotland,B.1.617.2 (Delta),202125,OU382939,Homo sapiens,1.16,B.1.617.2,Older,Europe,,VanSteenhouse et al B,,Lighthouse Lab in Glasgow,Wellcome Sanger Institute,
England/MILK-1C4A0ED/2021,8/22/2021,9,21J (Delta),United Kingdom,0,England,B.1.617.2 (Delta),202134,OU617774,Homo sapiens,1.16,B.1.617.2,Older,Europe,,The Lighthouse Lab in Milton et al B,,Lighthouse Lab in Milton Keynes,Wellcome Sanger Institute,2.32
England/MILK-274DA2A/2021,10/13/2021,8,21J (Delta),United Kingdom,0.01,England,B.1.617.2 (Delta),202141,OU895512,Homo sapiens,1.16,B.1.617.2,1-2 days ago,Europe,,The Lighthouse Lab in Milton et al B,,,,2.32
Switzerland/VS-ICH-2210911957/2021,9/6/2021,8,21J (Delta),Switzerland,0,Valais,B.1.617.2 (Delta),202136,OU721440,Homo sapiens,1.15,B.1.617.2,Older,Europe,,? DR,,"Valais Hospital, Central Institute; Sion, Switzerland","Hopital du Valais, Institut Central des Hopitaux, Sion, Switzerland",2.32
Switzerland/ZH-UZH-IMV-3ba4ebd7/2021,8/26/2021,8,21J (Delta),Switzerland,0,Zürich,B.1.617.2 (Delta),202134,OU687517,Homo sapiens,1.15,B.1.617.2,Older,Europe,,? DS,,"Universität Zürich, Zürich, Switzerland","Institute of Medical Virology, Zürich, Switzerland",2.32
OU517330,6/29/2021,8,21J (Delta),Germany,,North Rhine Westphalia,B.1.617.2 (Delta),202126,OU517330,Homo sapiens,1.15,B.1.617.2,Older,Europe,,? F,,"Labor ZOTZ|KLIMAS; MVZ Düsseldorf-Centrum, Immermannstr. 65a; 40210 Düsseldorf",Robert Koch Institute,
Switzerland/un-HUG-34842984/2021,7/22/2021,8,21J (Delta),Switzerland,,Switzerland,B.1.617.2 (Delta),202129,OU572419,Homo sapiens,1.16,B.1.617.2,Older,Europe,,? DT,,"Laboratoire de virologie, Geneva, Switzerland",HUG,
Switzerland/VD-CHUV-GEN6810/2021,9/2/2021,9,21J (Delta),Switzerland,0,Vaud,B.1.617.2 (Delta),202135,OU706192,Homo sapiens,1.16,B.1.617.2,Older,Europe,,? DU,,"CHUV, CH-1011 Lausanne, Switzerland","laboratory of genomics and metagenomics, institute of microbiology, university hospital centre and university of lausanne, switzerland",2.32
USA/DE-CDC-LC0305434/2021,9/29/2021,9,21J (Delta),USA,0,Delaware,B.1.617.2 (Delta),202139,OK521739,Homo sapiens,1.18,B.1.617.2,One week ago,North America,,Howard et al CV,,,,2.32
OU706805,7/22/2021,7,21J (Delta),Slovakia,,Slovakia,B.1.617.2 (Delta),202129,OU706805,Homo sapiens,1.13,B.1.617.2,Older,Europe,,? N,,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",
OU819759,8/11/2021,7,21J (Delta),Slovakia,0,Slovakia,B.1.617.2 (Delta),202132,OU819759,Homo sapiens,1.12,B.1.617.2,One month ago,Europe,,? N,,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia",Public Health Authority of the Slovak Republic,2.32
OU819822,8/20/2021,7,21J (Delta),Slovakia,0,Slovakia,B.1.617.2 (Delta),202133,OU819822,Homo sapiens,1.13,B.1.617.2,One month ago,Europe,,? N,,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia",Public Health Authority of the Slovak Republic,2.32
USA/2107300292/2021,7/30/2021,8,21J (Delta),USA,,New Hampshire,B.1.617.2 (Delta),202130,MZ801103,Homo sapiens,1.17,B.1.617.2,Older,North America,,Benton et al C,,,,
Liechtenstein/FL-Risch-2182303435/2021,8/18/2021,8,21J (Delta),Liechtenstein,0,Liechtenstein,B.1.617.2 (Delta),202133,OU620766,Homo sapiens,1.19,B.1.617.2,Older,Europe,,? DV,,"Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs",Dr. Risch,2.32
Liechtenstein/FL-Risch-2191601754/2021,9/8/2021,8,21J (Delta),Liechtenstein,0,Liechtenstein,B.1.617.2 (Delta),202136,OU837496,Homo sapiens,1.2,B.1.617.2,One week ago,Europe,,? DW,,"Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs",Dr. Risch,2.32
USA/PR-CDC-ASC210405185/2021,9/13/2021,7,21J (Delta),USA,0,Puerto Rico,B.1.617.2 (Delta),202137,OK478055,Homo sapiens,1.16,B.1.617.2,One month ago,North America,,Howard et al CW,,,,5.61
USA/IA-CDC-2-4634466/2021,6/30/2021,7,21J (Delta),USA,,Iowa,B.1.617.2 (Delta),202126,MZ666636,Homo sapiens,1.25,B.1.617.2,Older,North America,,Sheth et al U,,,,
USA/MP-CDC-2-4634175/2021,6/28/2021,7,21J (Delta),USA,,Northern Mariana Islands,B.1.617.2 (Delta),202126,MZ702195,Homo sapiens,1.17,B.1.617.2,Older,North America,,Sheth et al V,,,,
USA/UT-UPHL-210911778160/2021,7/15/2021,8,21J (Delta),USA,,Utah,B.1.617.2 (Delta),202128,OK166369,Homo sapiens,1.16,B.1.617.2,Older,North America,,Linares et al C,,Utah Public Health Laboratory,Utah Public Health Laboratory Infectious Disease submission group,
USA/UT-UPHL-210707790718/2021,6/29/2021,7,21J (Delta),USA,,Utah,B.1.617.2 (Delta),202126,MZ728458,Homo sapiens,1.16,B.1.617.2,Older,North America,,Gupta et al A,,Utah Public Health Laboratory,Utah Public Health Laboratory Infectious Disease submission group,
USA/CO-CDC-FG-038872/2021,6/25/2021,7,21J (Delta),USA,,Colorado,B.1.617.2 (Delta),202125,OK213585,Homo sapiens,1.18,B.1.617.2,Older,North America,,Howard et al CX,,,,
USA/AK-PHL9879/2021,6/29/2021,7,21J (Delta),USA,,Alaska,B.1.617.2 (Delta),202126,MZ571486,Homo sapiens,1.1,B.1.617.2,Older,North America,,DeRonde et al F,,,,
USA/OR-CDC-LC0144509/2021,7/18/2021,8,21J (Delta),USA,,Oregon,B.1.617.2 (Delta),202129,MZ865912,Homo sapiens,1.15,B.1.617.2,Older,North America,,Howard et al CY,,,,
USA/VT-CDCBI-CRSP_EZW6EUIPSR5XM3OR/2021,9/7/2021,7,21J (Delta),USA,0,Vermont,B.1.617.2 (Delta),202136,OK177745,Homo sapiens,1.16,B.1.617.2,Older,North America,,Lemieux et al L,,Broad Institute Clinical Research Sequencing Platform,Broad Institute Genomic Center for Infectious Diseases,6.02
USA/CO-CDC-MMB09273291/2021,6/29/2021,7,21J (Delta),USA,,Colorado,B.1.617.2 (Delta),202126,MZ618083,Homo sapiens,1.14,B.1.617.2,Older,North America,,Howard et al CZ,,Mako Medical,CDC-OAMD,
USA/CA-CDC-FG-042666/2021,7/14/2021,7,21J (Delta),USA,,California,B.1.617.2 (Delta),202128,MZ662445,Homo sapiens,1.17,B.1.617.2,Older,North America,,Howard et al DA,,Fulgent Genetics,CDC-OAMD,
USA/SD-CDC-4188677-001/2021,6/25/2021,7,21J (Delta),USA,,South Dakota,B.1.617.2 (Delta),202125,MZ618216,Homo sapiens,1.19,B.1.617.2,Older,North America,,Sheth et al W,,,,
USA/AR-CDC-LC0085850/2021,6/26/2021,7,21J (Delta),USA,,Arkansas,B.1.617.2 (Delta),202125,MZ554729,Homo sapiens,1.18,B.1.617.2,Older,North America,,Howard et al DB,,Laboratory Corporation of America,CDC-OAMD,
USA/PR-CDC-ASC210114176/2021,7/13/2021,8,21J (Delta),USA,,Puerto Rico,B.1.617.2 (Delta),202128,MZ745795,Homo sapiens,1.13,B.1.617.2,Older,North America,,Howard et al DC,,Aegis Sciences Corporation,CDC-OAMD,
USA/AR-UMGC-9880/2021,8/2/2021,7,21J (Delta),USA,,Arkansas,B.1.617.2 (Delta),202131,MZ928162,Homo sapiens,1.16,B.1.617.2,Older,North America,,Gohl et al A,,,,
USA/AR-UMGC-7854/2021,7/27/2021,7,21J (Delta),USA,,Arkansas,B.1.617.2 (Delta),202130,MZ831739,Homo sapiens,1.18,B.1.617.2,Older,North America,,Gohl et al B,,,,
USA/AK-CDC-ASC210409400/2021,9/13/2021,7,21J (Delta),USA,0,Alaska,B.1.617.2 (Delta),202137,OK497022,Homo sapiens,1.14,B.1.617.2,One month ago,North America,,Howard et al DD,,,,6.02
USA/WV121075/2021,7/13/2021,7,21J (Delta),USA,,West Virginia,B.1.617.2 (Delta),202128,OK342395,Homo sapiens,1.16,B.1.617.2,One month ago,North America,,Denvir et al E,,,,
USA/HI-CDC-QDX28654455/2021,9/4/2021,7,21J (Delta),USA,0,Hawaii,B.1.617.2 (Delta),202135,OK338091,Homo sapiens,1.16,B.1.617.2,One month ago,North America,,Howard et al DE,,,,6.02
USA/IN-CDC-LC0270113/2021,9/1/2021,7,21J (Delta),USA,0,Indiana,B.1.617.2 (Delta),202135,OK309018,Homo sapiens,1.16,B.1.617.2,Older,North America,,Howard et al DF,,,,6.02
USA/VT-CDCBI-CRSP_F3K46VISZFKHVEEQ/2021,10/14/2021,7,21J (Delta),USA,0.01,Vermont,B.1.617.2 (Delta),202141,OK597706,Homo sapiens,1.18,B.1.617.2,3-7 days ago,North America,,Lemieux et al M,,Broad Institute Clinical Research Sequencing Platform,Broad Institute Genomic Center for Infectious Diseases,6.02
USA/UT-UPHL-210707584256/2021,6/22/2021,7,21J (Delta),USA,,Utah,B.1.617.2 (Delta),202125,MZ728358,Homo sapiens,1.16,B.1.617.2,Older,North America,,Gupta et al B,,Utah Public Health Laboratory,Utah Public Health Laboratory Infectious Disease submission group,
USA/UT-UPHL-210928003535/2021,8/4/2021,7,21J (Delta),USA,,Utah,B.1.617.2 (Delta),202131,OK397595,Homo sapiens,1.18,B.1.617.2,One month ago,North America,,Linares-Perdomo et al B,,Utah Public Health Laboratory,Utah Public Health Laboratory Infectious Disease submission group,
USA/NY-CDC-FG-145114/2021,9/29/2021,8,21J (Delta),USA,0,New York,B.1.617.2 (Delta),202139,OK644803,Homo sapiens,1.15,,1-2 days ago,North America,,Howard et al DG,,,,6.02
USA/NY-CDC-LC0101104/2021,7/14/2021,7,21J (Delta),USA,,New York,B.1.617.2 (Delta),202128,MZ785408,Homo sapiens,1.12,B.1.617.2,Older,North America,,Howard et al DH,,Laboratory Corporation of America,CDC-OAMD,
USA/MD-CDC-LC0246780/2021,9/3/2021,7,21J (Delta),USA,0,Maryland,B.1.617.2 (Delta),202135,OK200657,Homo sapiens,1.13,B.1.617.2,Older,North America,,Howard et al DI,,,,6.02
USA/NV-CDC-QDX26446374/2021,7/5/2021,7,21J (Delta),USA,,Nevada,B.1.617.2 (Delta),202127,MZ591242,Homo sapiens,1.16,B.1.617.2,Older,North America,,Howard et al DJ,,Quest Diagnostics Incorporated,CDC-OAMD,
USA/AZ-CDC-LC0222361/2021,8/8/2021,8,21J (Delta),USA,0,Arizona,B.1.617.2 (Delta),202132,OK154167,Homo sapiens,1.15,B.1.617.2,Older,North America,,Howard et al DK,,,,
USA/NMDOH-2021136143/2021,7/14/2021,7,21J (Delta),USA,,New Mexico,B.1.617.2 (Delta),202128,MZ733912,Homo sapiens,1.17,B.1.617.2,Older,North America,,Johnson et al D,,New Mexico Department of Health Scientific Laboratory,New Mexico Department of Health Scientific Laboratory,
USA/CA-CDC-FG-131725/2021,9/20/2021,7,21J (Delta),USA,0,California,B.1.617.2 (Delta),202138,OK327594,Homo sapiens,1.15,B.1.617.2,One month ago,North America,,Howard et al DL,,,,6.02
USA/RI-CDCBI-RIDOH_QI5J3FR7VMWWUJK2/2021,10/4/2021,7,21J (Delta),USA,0,Rhode Island,B.1.617.2 (Delta),202140,OK591503,Homo sapiens,1.2,AY.39,3-7 days ago,North America,,Lemieux et al N,,Rhode Island Department of Health,Broad Institute Genomic Center for Infectious Diseases,6.02
USA/TX-CDC-FG-094077/2021,8/16/2021,7,21J (Delta),USA,0,Texas,B.1.617.2 (Delta),202133,OK140787,Homo sapiens,1.15,B.1.617.2,Older,North America,,Howard et al DM,,,,6.02
USA/SC-CDC-MMB09521762/2021,7/29/2021,7,21J (Delta),USA,,South Carolina,B.1.617.2 (Delta),202130,MZ804651,Homo sapiens,1.16,B.1.617.2,Older,North America,,Howard et al DN,,Mako Medical,CDC-OAMD,
USA/HI-CDC-QDX29409627/2021,10/1/2021,7,21J (Delta),USA,0,Hawaii,B.1.617.2 (Delta),202139,OK571612,Homo sapiens,1.15,B.1.617.2,One week ago,North America,,Howard et al DO,,,,6.02
USA/AL-CDC-STM-000739779/2021,10/2/2021,7,21J (Delta),USA,0,Alabama,B.1.617.2 (Delta),202139,OK591715,Homo sapiens,1.15,B.1.617.2,3-7 days ago,North America,,Howard et al DP,,,,6.02
USA/WY-CDC-2-4999486/2021,9/22/2021,7,21J (Delta),USA,0,Wyoming,B.1.617.2 (Delta),202138,OK490058,Homo sapiens,1.16,B.1.617.2,One month ago,North America,,Sheth et al X,,,,6.02
USA/AZ-CDC-ASC210103819/2021,9/1/2021,8,21J (Delta),USA,0,Arizona,B.1.617.2 (Delta),202135,OK225707,Homo sapiens,1.16,B.1.617.2,Older,North America,,Howard et al DQ,,,,6.02
USA/OSPHL02873/2021,9/14/2021,7,21J (Delta),USA,0,Oregon,B.1.617.2 (Delta),202137,OK189232,Homo sapiens,1.16,B.1.617.2,Older,North America,,Razzaque et al C,,,,6.02
USA/NC-CDC-LC0201150/2021,8/18/2021,7,21J (Delta),USA,0,North Carolina,B.1.617.2 (Delta),202133,OK098973,Homo sapiens,1.25,B.1.617.2,Older,North America,,Howard et al DR,,,,6.02
USA/MN-UMGC-10551/2021,8/19/2021,7,21J (Delta),USA,0,Minnesota,B.1.617.2 (Delta),202133,OK048529,Homo sapiens,1.15,B.1.617.2,Older,North America,,Gohl et al C,,,,6.02
USA/UT-UPHL-211009621211/2021,10/4/2021,8,21J (Delta),USA,0,Utah,B.1.617.2 (Delta),202140,OK523793,Homo sapiens,1.16,B.1.617.2,One week ago,North America,,Linares-Perdomo et al C,,Utah Public Health Laboratory,Utah Public Health Laboratory Infectious Disease submission group,6.02
USA/MO-UMGC-5638/2021,7/22/2021,7,21J (Delta),USA,,Missouri,B.1.617.2 (Delta),202129,MZ751115,Homo sapiens,1.16,B.1.617.2,Older,North America,,Gohl et al D,,,,
USA/SC-COVID21-3218/2021,8/11/2021,7,21J (Delta),USA,0,South Carolina,B.1.617.2 (Delta),202132,OK244485,Homo sapiens,1.16,B.1.617.2,Older,North America,,Freeman et al A,,,,6.02
USA/WV-CDC-LC0193873/2021,8/18/2021,7,21J (Delta),USA,0,West Virginia,B.1.617.2 (Delta),202133,OK097184,Homo sapiens,1.16,B.1.617.2,Older,North America,,Howard et al DS,,,,6.02
USA/OR-CDC-QDX29600845/2021,10/8/2021,7,21J (Delta),USA,0,Oregon,B.1.617.2 (Delta),202140,OK627591,Homo sapiens,1.16,B.1.617.2,3-7 days ago,North America,,Howard et al DT,,,,6.02
USA/AL-CDC-ASC210193970/2021,8/20/2021,7,21J (Delta),USA,0,Alabama,B.1.617.2 (Delta),202133,OK118228,Homo sapiens,1.17,B.1.617.2,Older,North America,,Howard et al DU,,,,6.02
USA/NV-CDC-QDX26215506/2021,6/26/2021,7,21J (Delta),USA,,Nevada,B.1.617.2 (Delta),202125,MZ535474,Homo sapiens,1.17,B.1.617.2,Older,North America,,Howard et al DV,,,,
USA/AR-CDC-QDX29455811/2021,10/4/2021,7,21J (Delta),USA,0,Arkansas,B.1.617.2 (Delta),202140,OK571863,Homo sapiens,1.16,B.1.617.2,One week ago,North America,,Howard et al DW,,,,6.02
USA/MI-CDC-ASC210089486/2021,9/21/2021,7,21J (Delta),USA,0,Michigan,B.1.617.2 (Delta),202138,OK603367,Homo sapiens,1.16,B.1.617.2,3-7 days ago,North America,,Howard et al DX,,,,6.02
USA/WA-CDC-LC0105153/2021,7/13/2021,7,21J (Delta),USA,,Washington,B.1.617.2 (Delta),202128,MZ784272,Homo sapiens,1.16,B.1.617.2,Older,North America,,Howard et al DY,,Laboratory Corporation of America,CDC-OAMD,
USA/WA-CDC-LC0263604/2021,8/25/2021,7,21J (Delta),USA,0,Washington,B.1.617.2 (Delta),202134,OK276300,Homo sapiens,1.16,B.1.617.2,Older,North America,,Howard et al DZ,,,,6.02
USA/AR-CDC-QDX29213602/2021,9/27/2021,7,21J (Delta),USA,0,Arkansas,B.1.617.2 (Delta),202139,OK484246,Homo sapiens,1.16,B.1.617.2,One month ago,North America,,Howard et al EA,,,,6.02
USA/MT-CDC-LC0317687/2021,9/26/2021,7,21J (Delta),USA,0,Montana,B.1.617.2 (Delta),202139,OK534731,Homo sapiens,1.16,B.1.617.2,One week ago,North America,,Howard et al EB,,,,6.02
USA/WA-CDC-UW21101118075/2021,10/11/2021,7,21J (Delta),USA,0,Washington,B.1.617.2 (Delta),202141,OK640531,Homo sapiens,1.16,,1-2 days ago,North America,,Howard et al EC,,,,6.02
USA/MT-CDC-LC0152965/2021,7/26/2021,7,21J (Delta),USA,,Montana,B.1.617.2 (Delta),202130,MZ866360,Homo sapiens,1.16,B.1.617.2,Older,North America,,Howard et al ED,,,,
USA/CA-CDC-FG-150699/2021,10/14/2021,7,21J (Delta),USA,0.01,California,B.1.617.2 (Delta),202141,OK616646,Homo sapiens,1.16,B.1.617.2,3-7 days ago,North America,,Howard et al EE,,,,6.02
OU819248,7/26/2021,7,21J (Delta),Slovakia,,Slovakia,B.1.617.2 (Delta),202130,OU819248,Homo sapiens,1.19,B.1.617.2,One month ago,Europe,,? N,,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia",Public Health Authority of the Slovak Republic,
KEN/C102374/2021,7/2/2021,7,21J (Delta),Kenya,,Kenya,B.1.617.2 (Delta),202126,OK017283,Homo sapiens,1.16,B.1.617.2,Older,Africa,,Githinji et al GE,,,,
KEN/C103612/2021,7/9/2021,7,21J (Delta),Kenya,,Kenya,B.1.617.2 (Delta),202127,OK017349,Homo sapiens,1.16,B.1.617.2,Older,Africa,,Githinji et al GF,,,,
KEN/C102373/2021,7/2/2021,7,21J (Delta),Kenya,,Kenya,B.1.617.2 (Delta),202126,OK017282,Homo sapiens,1.16,B.1.617.2,Older,Africa,,Githinji et al GG,,,,
KEN/C102353/2021,7/2/2021,7,21J (Delta),Kenya,,Kenya,B.1.617.2 (Delta),202126,OK017275,Homo sapiens,1.16,B.1.617.2,Older,Africa,,Githinji et al GH,,,,
IND/GBRC1269/2021,6/26/2021,7,21J (Delta),India,,India,B.1.617.2 (Delta),202125,MZ702729,Homo sapiens,0.95,B.1.617.2,Older,Asia,,Soni et al C,,,,
NZL/21CH0159/2021,8/26/2021,7,21J (Delta),New Zealand,0,Canterbury,B.1.617.2 (Delta),202134,OK426237,Homo sapiens,1.19,AY.25,One month ago,Oceania,,Ren et al LL,,Canterbury Health Laboratories,Institute of Environmental Science and Research,1.57
USA/CA-CDC-FG-101464/2021,8/25/2021,7,21J (Delta),USA,0,California,B.1.617.2 (Delta),202134,OK059084,Homo sapiens,1.16,AY.25,Older,North America,,Howard et al EF,,,,1.57
USA/WY-CDC-2-4611793/2021,6/30/2021,8,21J (Delta),USA,,Wyoming,B.1.617.2 (Delta),202126,MZ780899,Homo sapiens,1.15,AY.25,Older,North America,,Sheth et al Y,,,,
USA/IL-CDC-LC0142486/2021,7/26/2021,9,21J (Delta),USA,,Illinois,B.1.617.2 (Delta),202130,MZ861715,Homo sapiens,1.15,AY.25,Older,North America,,Howard et al EG,,,,
