Author	n (strains)	publication title	journal	publication URL	strains
Seemann et al	19	unknown	unknown	unknown	hCoV-19/Australia/VIC15857/2020,hCoV-19/Australia/VIC15901/2020,hCoV-19/Australia/VIC16090/2020,hCoV-19/Australia/VIC9965/2020,hCoV-19/Australia/VIC19565/2021,hCoV-19/Australia/VIC18865/2021,hCoV-19/Australia/VIC21741/2021,hCoV-19/Australia/VIC20358/2021,hCoV-19/Australia/VIC20342/2021,hCoV-19/Australia/VIC21238/2021,hCoV-19/Australia/VIC19255/2021,hCoV-19/Australia/VIC24380/2021,hCoV-19/Australia/VIC24462/2021,hCoV-19/Australia/VIC23418/2021,hCoV-19/Australia/VIC22985/2021,hCoV-19/Australia/VIC23076/2021,hCoV-19/Australia/VIC19109/2021,hCoV-19/Australia/VIC19111/2021,hCoV-19/Australia/VIC19074/2021
Chamings et al	2	unknown	unknown	unknown	hCoV-19/Australia/GC-292/2020,hCoV-19/Australia/GC-251/2020
Seemann T. et al	5	unknown	unknown	unknown	hCoV-19/Australia/VIC14955/2020,hCoV-19/Australia/VIC18287/2021,hCoV-19/Australia/VIC18217/2021,hCoV-19/Australia/VIC18566/2021,hCoV-19/Australia/VIC18925/2021
HERRERA-GOMEZ CONNIE ALEJANDRA et al	1	unknown	unknown	unknown	hCoV-19/Mexico/HID-21-053-005-37461/2020
Fahd Al-Mulla et al	1	unknown	unknown	unknown	hCoV-19/Kuwait/KU008/2020
Xiang Zhao et al	1	unknown	unknown	unknown	hCoV-19/Shulan/IVDC-01-01/2020
Huilai Ma1& et al	2	unknown	unknown	unknown	hCoV-19/Liaoning/Dalian-IVDC-Case-1/2020,hCoV-19/env/Liaoning/Dalian-IVDC-Pollock-30-05/2020
Emily Smith on behalf of CDPH-COVIDNet et al	1	unknown	unknown	unknown	hCoV-19/USA/CA-CDPH-2000019215/2021
A.A. Kritsky et al	1	unknown	unknown	unknown	hCoV-19/Guinea/C4/2021
Gisela Barrera-Badillo et al	1	unknown	unknown	unknown	hCoV-19/Mexico/TLA-InDRE-56/2020
Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	44	unknown	unknown	unknown	hCoV-19/Mexico/VER_INER_IMSS_00921/2021,hCoV-19/Mexico/ROO_INER_IMSS_00440/2021,hCoV-19/Mexico/PUE-INER-IMSS-00134/2021,hCoV-19/Mexico/NAY-CIAD-4746-0709/2021,hCoV-19/Mexico/CAM_IBT_IMSS_2153/2021,hCoV-19/Mexico/SIN_CIAD-MZT_S7028/2021,hCoV-19/Mexico/CMX-INER_IMSS_1556/2021,hCoV-19/Mexico/BCS-IBT-IMSS-104/2021,hCoV-19/Mexico/SIN_CIAD-MZT_ID3774/2021,hCoV-19/Mexico/DUR_IBT_IMSS_2333/2021,hCoV-19/Mexico/GUA_IBT_IMSS_2264/2021,hCoV-19/Mexico/CHH_IBT_IMSS_3356/2021,hCoV-19/Mexico/TLA_IBT_IMSS_2526/2021,hCoV-19/Mexico/SIN_CIAD-CLN_D2539/2021,hCoV-19/Mexico/NLE_IBT_IMSS_2358/2021,hCoV-19/Mexico/NAY_CIAD-MZT_5712-0910/2021,hCoV-19/Mexico/SIN_CIAD-MZT_HJ3996/2021,hCoV-19/Mexico/JAL_INER_IMSS_1908/2021,hCoV-19/Mexico/BCS_IBT_IMSS_3450/2021,hCoV-19/Mexico/SLP_IBT_IMSS_2578/2021,hCoV-19/Mexico/ZAC_IBT_IMSS_2132/2021,hCoV-19/Mexico/COA_INER_IMSS_2403/2021,hCoV-19/Mexico/PUE_IBT_IMSS_2471/2021,hCoV-19/Mexico/OAX-INER_IMSS_1573/2021,hCoV-19/Mexico/CHH_INER_IMSS_2071/2021,hCoV-19/Mexico/QUE_IBT_IMSS_3378/2021,hCoV-19/Mexico/COL_IBT_IMSS_3240/2021,hCoV-19/Mexico/GUA_IBT_IMSS_2668/2021,hCoV-19/Mexico/MEX-INER_IMSS_1610/2021,hCoV-19/Mexico/NLE_IBT_IMSS_3322/2021,hCoV-19/Mexico/SLP-INER_IMSS_1437/2021,hCoV-19/Mexico/GUA_INER_IMSS_2670/2021,hCoV-19/Mexico/TAM_IBT_IMSS_2855/2021,hCoV-19/Mexico/ZAC_INER_IMSS_2340/2021,hCoV-19/Mexico/ZAC_IBT_IMSS_3052/2021,hCoV-19/Mexico/PUE_INER_IMSS_2590/2021,hCoV-19/Mexico/CHP_INER_IMSS_1878/2021,hCoV-19/Mexico/CHP_INER_IMSS_2173/2021,hCoV-19/Mexico/SLP_IBT_IMSS_3083/2021,hCoV-19/Mexico/COA_INER_IMSS_2034/2021,hCoV-19/Mexico/BCN_INER_IMSS_2541/2021,hCoV-19/Mexico/CAM_IBT_IMSS_2606/2021,hCoV-19/Mexico/CHP_IBT_IMSS_3391/2021,hCoV-19/Mexico/NAY_IBT_IMSS_2774/2021
Pan et al	1	unknown	unknown	unknown	hCoV-19/Mexico/BCN-NHRC-OID_843677/2021
Peter W. Cook et al	1	unknown	unknown	unknown	hCoV-19/USA/KY-CDC-LC0009283/2021
Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	28	unknown	unknown	unknown	hCoV-19/Mexico/OAX_LANGEBIO_IMSS_25647-NC/2021,hCoV-19/Mexico/NAY-LANGEBIO_IMSS_1315/2021,hCoV-19/Mexico/ROO-LANGEBIO_IMSS_1580/2021,hCoV-19/Mexico/PUE-LANGEBIO_IMSS_1854/2021,hCoV-19/Mexico/YUC-LANGEBIO_IMSS_1605/2021,hCoV-19/Mexico/ROO-LANGEBIO_IMSS_1161/2021,hCoV-19/Mexico/COA-LANGEBIO_IMSS_1381/2021,hCoV-19/Mexico/CHH_LANGEBIO_IMSS_0561/2021,hCoV-19/Mexico/TAM-LANGEBIO_IMSS_1671/2021,hCoV-19/Mexico/MEX_LANGEBIO_IMSS_0216/2021,hCoV-19/Mexico/CHP_LANGEBIO_IMSS_1837/2021,hCoV-19/Mexico/DUR_LANGEBIO_IMSS_1678/2021,hCoV-19/Mexico/SON_LANGEBIO_IMSS_2612/2021,hCoV-19/Mexico/YUC_LANGEBIO_IMSS_2331/2021,hCoV-19/Mexico/VER-LANGEBIO_IMSS_1760/2021,hCoV-19/Mexico/ZAC-LANGEBIO_IMSS_1338/2021,hCoV-19/Mexico/DUR_LANGEBIO_IMSS_1946/2021,hCoV-19/Mexico/NLE-LANGEBIO_IMSS_1665/2021,hCoV-19/Mexico/GRO-LANGEBIO_IMSS_1870/2021,hCoV-19/Mexico/BCN_LANGEBIO_IMSS_2109/2021,hCoV-19/Mexico/MIC_LANGEBIO_IMSS_2527/2021,hCoV-19/Mexico/VER_LANGEBIO_IMSS_2359/2021,hCoV-19/Mexico/COL_LANGEBIO_IMSS_2225/2021,hCoV-19/Mexico/PUE_LANGEBIO_IMSS_2478/2021,hCoV-19/Mexico/MOR-LANGEBIO_IMSS_1792/2021,hCoV-19/Mexico/BCS_LANGEBIO_IMSS_2408/2021,hCoV-19/Mexico/CHH_LANGEBIO_IMSS_1944/2021,hCoV-19/Mexico/CHH-LANGEBIO_IMSS_1694/2021
Ngoi et al	2	unknown	unknown	unknown	hCoV-19/Ghana/WACCBIP-GS03/2020,hCoV-19/Ghana/WACCBIP-GS26/2020
Matthew Sinn et al	2	unknown	unknown	unknown	hCoV-19/USA/MO-MSPHL-000166/2020,hCoV-19/USA/MO-MSPHL-004711/2021
Al Safar et al	3	unknown	unknown	unknown	hCoV-19/UnitedArabEmirates/2028/2020,hCoV-19/UnitedArabEmirates/2003/2020,hCoV-19/UnitedArabEmirates/3343/2020
Janis Pjalkovskis et al	11	unknown	unknown	unknown	hCoV-19/Latvia/913/2020,hCoV-19/Latvia/918/2020,hCoV-19/Latvia/890/2020,hCoV-19/Latvia/624/2021,hCoV-19/Latvia/2530/2021,hCoV-19/Latvia/2415/2021,hCoV-19/Latvia/2529/2021,hCoV-19/Latvia/2524/2021,hCoV-19/Latvia/2552/2021,hCoV-19/Latvia/2521/2021,hCoV-19/Latvia/2557/2021
Pavitra Roychoudhury et al	9	unknown	unknown	unknown	hCoV-19/Armenia/UW-ARM37/2020,hCoV-19/Armenia/UW-ARM23/2020,hCoV-19/USA/IN-UW-5500656/2020,hCoV-19/Armenia/UW-ARM49/2020,hCoV-19/Armenia/UW-ARM50/2020,hCoV-19/USA/WA-UW-21063044272/2021,hCoV-19/USA/WA-UW-12632/2020,hCoV-19/USA/WA-UW-21080257218/2021,hCoV-19/USA/WA-UW-21100506883/2021
Arsen Arakelyan et al	9	unknown	unknown	unknown	hCoV-19/Armenia/IMB1-10/2021,hCoV-19/Armenia/IMB2-11/2021,hCoV-19/Armenia/IMB8-6/2021,hCoV-19/Armenia/IMB4-14/2021,hCoV-19/Armenia/IMB4-4/2021,hCoV-19/Armenia/IMB7-9/2021,hCoV-19/Armenia/IMB6-9/2021,hCoV-19/Armenia/IMB4-2/2021,hCoV-19/Armenia/IMB5-15/2021
Githinji G. et al	27	unknown	unknown	unknown	hCoV-19/Seychelles/G9497/2020,hCoV-19/Kenya/SS1520_11_0/2021,hCoV-19/Seychelles/G40372/2021,hCoV-19/Kenya/SS2098_29_0/2021,hCoV-19/Kenya/SS2337/2021,hCoV-19/Kenya/SS959/2021,hCoV-19/Kenya/SS2467/2021,hCoV-19/Kenya/SS2101_29_0/2021,hCoV-19/Seychelles/SS1004/2021,hCoV-19/Kenya/SS1567_14_0/2021,hCoV-19/Seychelles/SS2565/2021,hCoV-19/Seychelles/SS2609/2021,hCoV-19/Seychelles/SS2607/2021,hCoV-19/Seychelles/SS2603/2021,hCoV-19/Seychelles/SS2599/2021,hCoV-19/Seychelles/SS2677/2021,hCoV-19/Seychelles/SS2594/2021,hCoV-19/Seychelles/SS2596/2021,hCoV-19/Seychelles/SS2632/2021,hCoV-19/Kenya/SS1536_13_0/2021,hCoV-19/Kenya/SS2487/2021,hCoV-19/Kenya/SS2438/2021,hCoV-19/Kenya/C101735/2021,hCoV-19/Kenya/SS951/2021,hCoV-19/Kenya/C106386/2021,hCoV-19/Kenya/C102673/2021,hCoV-19/Kenya/C106952_5_0/2021
Mélanie Albert et al	1	unknown	unknown	unknown	hCoV-19/Algeria/G35155-8850/2020
Campbell et al	1	unknown	unknown	unknown	hCoV-19/SierraLeone/NMIMR-SLE-SLSEQ19/2021
Allan K.O. Campbell et al	8	unknown	unknown	unknown	hCoV-19/SierraLeone/CPHRL-094/2021,hCoV-19/SierraLeone/CPHRL-261/2021,hCoV-19/SierraLeone/CPHRL-275/2021,hCoV-19/SierraLeone/CPHRL-114/2021,hCoV-19/SierraLeone/CPHRL-113/2021,hCoV-19/SierraLeone/CPHRL-109/2021,hCoV-19/SierraLeone/CPHRL-289/2021,hCoV-19/SierraLeone/CPHRL-107/2021
Nikita S. D. Sahadeo et al	41	unknown	unknown	unknown	hCoV-19/TrinidadandTobago/61258/2021,hCoV-19/TrinidadandTobago/55455/2021,hCoV-19/TrinidadandTobago/25889/2020,hCoV-19/Guyana/50825/2020,hCoV-19/TrinidadandTobago/62891M/2021,hCoV-19/TrinidadandTobago/58620/2021,hCoV-19/TrinidadandTobago/62877/2021,hCoV-19/TrinidadandTobago/67925/2021,hCoV-19/TrinidadandTobago/62309/2021,hCoV-19/TrinidadandTobago/49697/2021,hCoV-19/TrinidadandTobago/59135/2021,hCoV-19/TrinidadandTobago/57246/2021,hCoV-19/TrinidadandTobago/49928/2021,hCoV-19/TrinidadandTobago/74802/2021,hCoV-19/TrinidadandTobago/58562/2021,hCoV-19/TrinidadandTobago/63342/2021,hCoV-19/TrinidadandTobago/80141/2021,hCoV-19/TrinidadandTobago/48653/2021,hCoV-19/TrinidadandTobago/57821/2021,hCoV-19/TrinidadandTobago/48650/2021,hCoV-19/TrinidadandTobago/58904/2021,hCoV-19/TrinidadandTobago/62327/2021,hCoV-19/Barbados/BRB50400/2020,hCoV-19/SaintLucia/59975/2021,hCoV-19/SaintLucia/80746/2021,hCoV-19/TrinidadandTobago/60346/2021,hCoV-19/Guyana/50822/2020,hCoV-19/TrinidadandTobago/TT7923/2020,hCoV-19/TrinidadandTobago/39213/2020,hCoV-19/TrinidadandTobago/TT44092/2020,hCoV-19/TrinidadandTobago/0825/2020,hCoV-19/Guyana/50832/2021,hCoV-19/Guyana/50817/2020,hCoV-19/Barbados/76427/2021,hCoV-19/AntiguaandBarbuda/83145/2021,hCoV-19/Jamaica/82366/2021,hCoV-19/SaintVincentandtheGrenadines/82973/2021,hCoV-19/TrinidadandTobago/84746/2021,hCoV-19/AntiguaandBarbuda/81141/2021,hCoV-19/SaintVincentandtheGrenadines/79512/2021,hCoV-19/Grenada/81062/2021
Ikram Omar Osman et al	1	unknown	unknown	unknown	hCoV-19/Djibouti/CNSS00115-IHU1031243441/2020
Tapfumanei Mashe et al	4	unknown	unknown	unknown	hCoV-19/Zimbabwe/ZW-25255/2020,hCoV-19/Zimbabwe/ZW-25248/2020,hCoV-19/Zimbabwe/ZW-16428/2020,hCoV-19/Zimbabwe/ZW-41828/2020
Alghoribi et al	2	unknown	unknown	unknown	hCoV-19/SaudiArabia/KAIMRC-S161/2021,hCoV-19/SaudiArabia/KAIMRC-S611/2021
Natalia Rego et al	8	unknown	unknown	unknown	hCoV-19/Uruguay/CUY1-000137-UYTA/2020,hCoV-19/Uruguay/RT20-UYMO/2020,hCoV-19/Uruguay/ROC-M478/2020,hCoV-19/Uruguay/CUY12-002838-UYRN/2021,hCoV-19/Uruguay/RT19-UYMO/2020,hCoV-19/Uruguay/RT01-UYMO/2020,hCoV-19/Uruguay/CUY6-001069-UYSJ/2021,hCoV-19/Uruguay/RT28-UYMO/2021
Magaly Martinez et al	5	unknown	unknown	unknown	hCoV-19/Paraguay/iics_7932/2021,hCoV-19/Paraguay/iics_9781/2021,hCoV-19/Paraguay/iics_12384/2021,hCoV-19/Paraguay/iics_9640/2021,hCoV-19/Paraguay/iics_12532/2021
Stephane Tosta et al	2	unknown	unknown	unknown	hCoV-19/Brazil/BA-LACEN-114/2020,hCoV-19/Brazil/BA-LACEN-BA510/2021
María José Ortega et al	2	unknown	unknown	unknown	hCoV-19/Paraguay/REDE-PY11/2021,hCoV-19/Paraguay/REDE-PY4/2020
Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics et al	2	unknown	unknown	unknown	hCoV-19/Brazil/SP-L33-CD856/2020,hCoV-19/Brazil/SP-L50-CD1303/2020
NAPI-Genômica (Novos Arranjo de Pesquisa e Inovação em Genômica): Ademar Dantas da Cunha Júnior Adriano Ferrasa Adriano Mondini Aldo Przybysz Alessandra Lourenço Cecchini Armani Alex Sandro Jorge Alexandra Ivo de Medeiros Alexandre Maller Aline Cristina Batista Rodrigues Johann Ana Lucia Ferreira Ana Marisa Fusco Almeida Anderson Joel Martino Andrade André Luís Laforga Vanzela Andrea Duarte Doetzer Andrea Name Colado Simao Andressa Pereira de Souza Anelisa Ramão Angelica Beate Winter Boldt Anna Hermínia Castro Gomes de Amorim Anna Silvia Penteado Setti da Rocha Antonio Camilo da Silva Filho Antonio Stabelini Neto Arthur Hirata Bertachi Barbara Mendes Paz Chao Betty Cristiane Kuhn Bruno Ambrozio Galindo Bruno Ribeiro Cruz Camilla Reginatto De Pierri Carla Fredrichsen Moya Araujo Carla Fredrichsen Moya Araujo Carlos Alberto Oliveira de Biagi Junior Carlos Augusto Nassar Carlos Eduardo Buss Carlos Gilberto Carlotti Junior Carlos Henrique Schneider Carolina Panis Carolina Weigert Galvão Caroline de Jesus Coelho Donha Caroline Guisantes de Salvo Toni Caryna Eurich Mazur Catiuscie Cabreira da Silva Tortorella Celso F. D. Doliveira Cesar Luiz Boguszewski Christiane Pienna Soares Chung Man Chin Claudia Moro Cleverson Busso Cristiane Cominetti Daiane Priscila Simão-Silva Dalila Luciola Zanette Daniel de Paula Daniel de Paula Daniel Rech Daniela Fiori Gradia Daniela Pretti da Cunha Tirapelli Daniela Viganó Zanoti Jeronymo Daniele Ukan Danielle Malheiros Ferreira Danielle Venturini Deborah Catharine de Assis Leite Deivid Calebe de Souza Dennis Armando Bertolini Edenir Inez Pamero Edna Maria Vissoci Reiche Edson Roberto Arpini Miguel Eduardo José de Almeida Araújo Eliana Carolina Vespero Eliandro Reis Tavares Elza Kimura Grimshaw Emanuel Maltempi de Souza Emanuele Cristina Gustani Buss Émerson Carraro Emiliana Cristina Melo ENILze Maria de Souza Fonseca Ribeiro Enilze Maria de Souza Fonseca Ribeiro Erika Izumi Erika Seki Kioshima Cotica Evani Marques Pereira Fabio Negretti Fábio Rodrigues Ferreira Seiva Felipe Dunin dos Santos Felipe Tuon Fernanda Andreia Rosa Fernanda Cestaro Prado Cortez Fernanda Ivanski Fernanda Maris Peria Flavia Regina Oliveira de Barros Franciele Aní Caovilla Follador Franciele Mara Lucca Zanardo Bohm Francinete Ramos Campos Fulviana Silva Nishiyama GABRIEL RIBEIRO CORDEIRO Gabriela Datsch Bennemann Gisele Santos de Oliveira Glaucio Valdameri Glauco Akelinghton Freire Vitiello Glauco Vieira Miranda Glaura Scantamburlo ALves Fernandes Guilherme Ferreira Silveira Gustavo Bianchini Porfírio Gustavo Lenci Marques Hélito Volpato Hildebrando Masshiro Nagai Huei Diana Lee Ilce Mara de Syllos Cólus Iris Rabinovich Israel Gomy Jackson Kawakami Jacques Duílio Brancher Jaime Luís Lopes Rocha Jaqueline Carvalho de Oliveira Jean Henrique da Silva Rodrigues Jean Leandro dos Santos Jeane Eliete Laguila Visentainer João Paulo Bianchi Ximenez Joaquim Manoel da Silva Jociani Ascari Joel Donazzolo Jorge Luis Maria Ruiz Jose Knopfholz José Luis da Conceição Silva José Sebastião dos Santos Joseane Carla Schabarum Juliana Cheleski Wiggers Juliana Mara Serpeloni Juliana Morini Küpper Cardoso Perseguini Karen Brajão de Oliveira Karin Braun Prado Karine Aparecida de Lima Katiany Rizzieri Caleffi Ferracioli Katiuscia de Oliveira Francisco Gabriel Kelvinson Fernandes Viana Larissa Beatriz Cossalter Larissa Danielle Bahls Pinto Laurival Antonio Vilas Boas Léia Carolina Lucio Líbero Mezzadri Neto Ligia Carla Faccin Galhardi Lirane Elize Defante Ferreto Luciana Furlaneto Maia Luciana Oliveira de Fariña Luciana Reis Azevedo Alanis Luciane Regina Cavalli Lucy Megumi Yamauchi Lioni Luis Paulo Gomes Mascarenhas Luis Paulo Gomes Mascarenhas Luís Paulo Mascarenhas Lupe Furtado Alle Lyvia Regina Biagi Silva Bertachi Mara Antonia Ramos Costa Mara L. Cordeiro Marcela Maria Birolim Marcelo Ricardo Vicari Marcia Edilaine Lopes Consolaro Marcia Holsbach Beltrame Marcia Regina Eches Perugini Marcos Abdo Arbex Marcos Pileggi MARCOS TADEU GRZELCZAK Marcus Peikriszwili Tartaruga Maria Angelica Ehara Watanabe Maria Antonia Ramos Costa Maria Claudia Gross Maria José Soares Mendes Giannini Maria Leandra Terencio Maria Lúcia Bonfleur Maria Luiza Guimarães de Oliveira Maria Luiza Petzl-Erler Mariana Abe Vicente Cavagnari Marina Kimiko Kadowaki Marise Fonseca dos Santos Marla Karine Amarante Maurício Turkiewicz Mauro Antonio Alves Castro Michel Rodrigo Zambrano Passarini Michele Potrich Michelle Orane Schemberger Milena Massumi Kozonoe Mônica Degraf Cavallin Monica Tereza Suldofski Mucio Luiz de Assis Cirino Nadia Graciele Krohn Najeh Maissar Khalil Nédia de Castilhos Ghisi Neide Tomimura Costa Neiva Leite Neyva Maria Lopes Romeiro Patrícia Amâncio da Rosa Patricia Dayane Carvalho Schaker Patricia Oehlmeyer Nassar Patrícia Savio de Araújo-Souza Patricia Silva Lucio Paulo Henrique Couto Souza Paulo Roberto Donadio Percy Nohama Quirino Alves de Lima Neto Rafael Deminice Rafael dos Santos Bezerra Raquel Alves dos Santos Renan Manozzo Galante Renata Ernlund Freitas de Macedo Rita de Cássia Garcia Simão Roberta Losi Guembarovski Roberto H. Herai Roberto Rosati Rodrigo Ferreira Rodrigo Rodrigues Matiello Rogério Neri Shinsato Rogério Pincela Mateus Rosane Aparecida Ribeiro Rosilene Fressatti Cardoso Rosilene Fressatti Cardoso Sandra Mara Guse Scós Venske Selene Elifio Esposito Sérgio Ossamu Ioshii Silvana Giuliatti Silvia Mara de Souza Halick Silvio Henrique Maia de Almeida Simone Neumann Wendt Spencer Luiz Marques Payão Stefan Wolanski Negrão Stephane Janaina de Moura Escobar Sueli Fumie Yamada Ogatta SUELI PERCIO QUINAIA Taciane Finatto Tatiana Mayumi Veiga Iriyoda Tayza Katelline Danilau Ostroski Tony Alexander Hild Valeria Valente Vanessa Nascimento Kozak Vanessa Santos Sotomaior Victor Breno Pedrosa Victoria Zeghbi Cochenski Borba Vivian Rotuno Moure Valdameri Wander Rogerio Pavanelli Weber Cláudio Francisco Nunes da Silva Willian Augusto de Melo Yohandra Reyes Torres et al	1	unknown	unknown	unknown	hCoV-19/Brazil/PR-IPEC-129/2020
Deyvid Amgarten et al	2	unknown	unknown	unknown	hCoV-19/Brazil/SP-HIAE-ID12/2020,hCoV-19/Brazil/SP-HIAE-ID934/2021
Virginia DCLS et al	4	unknown	unknown	unknown	hCoV-19/USA/VA-DCLS-3578/2021,hCoV-19/USA/VA-DCLS-2727/2020,hCoV-19/USA/VA-DCLS-1919/2020,hCoV-19/USA/VA-DCLS-2171/2020
Sesay et al	1	unknown	unknown	unknown	hCoV-19/Gambia/0531/2020
Pawestri et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JK-NIHRD-MI41613/2020
Rajeev Shrestha et al	1	unknown	unknown	unknown	hCoV-19/Nepal/DH_002/2020
Ahmed Al Harrasi et al	2	unknown	unknown	unknown	hCoV-19/Oman/520244626/2020,hCoV-19/Oman/520244649/2020
Aisha Al-Amri et al	1	unknown	unknown	unknown	hCoV-19/Oman/520249658/2020
Abdul Latif Khan et al	2	unknown	unknown	unknown	hCoV-19/Oman/520257977/2020,hCoV-19/Oman/16908/2020
Kathrin Kattler et al	1	unknown	unknown	unknown	hCoV-19/Germany/SL-SU-10445786/2020
Christian Ranaivoson et al	4	unknown	unknown	unknown	hCoV-19/Madagascar/IPM-01422/2021,hCoV-19/Madagascar/IPM-38641/2020,hCoV-19/Madagascar/IPM-02177/2021,hCoV-19/Madagascar/IP-01861/2020
Norosoa Razanajatovo et al	4	unknown	unknown	unknown	hCoV-19/Madagascar/IPM-39638/2020,hCoV-19/Madagascar/IPM-32608/2020,hCoV-19/Madagascar/IPM-03692/2020,hCoV-19/Madagascar/IPM-28815/2020
Lorusso A et al	2	unknown	unknown	unknown	hCoV-19/Italy/LOM-IZSGC-TE31811/2020,hCoV-19/Italy/ABR-IZSGC-301396/2021
Gilman Kit-Hang Siu et al	4	unknown	unknown	unknown	hCoV-19/HongKong/HKPU-03305/2020,hCoV-19/HongKong/HKPU-06009/2020,hCoV-19/HongKong/HKPU-10865/2021,hCoV-19/HongKong/HKPU-11618/2021
Hannah Leah Morito et al	1	unknown	unknown	unknown	hCoV-19/Philippines/PH-RITM-0028/2020
Allison McGeer et al	1	unknown	unknown	unknown	hCoV-19/Canada/ON-SC0187/2020
Collins M. Morang'a et al	6	unknown	unknown	unknown	hCoV-19/Ghana/WACCBIP-GS379/2020,hCoV-19/Ghana/WACCBIP-GS1473/2021,hCoV-19/Ghana/WACCBIP-GS1532/2021,hCoV-19/Ghana/WACCBIP-GS1132/2021,hCoV-19/Ghana/WACCBIP-GS1079/2021,hCoV-19/Ghana/WACCBIP-GS1122/2021
Sikhulile Wonderful T. Choga et al	1	unknown	unknown	unknown	hCoV-19/Botswana/R8B36_BHP_CV1203167/2020
Parisi A. et al	2	unknown	unknown	unknown	hCoV-19/Italy/APU-IZSPB_306PT/2020,hCoV-19/Italy/APU-IZSPB-1519PT/2021
Andrey Komissarov et al A	2	Genomic epidemiology of the early stages of SARS-CoV-2 outbreak in Russia	unknown	https://dx.doi.org/10.1101/2020.07.14.20150979	hCoV-19/Russia/StPetersburg-RII7545S/2020,hCoV-19/Russia/StPetersburg-RII8319S/2020
Hakima Kabbaj et al	1	unknown	unknown	unknown	hCoV-19/Morocco/FMP-79/2021
Mouna Ouadghiri et al	3	unknown	unknown	unknown	hCoV-19/Morocco/FMP-208/2020,hCoV-19/Morocco/FMP-330/2021,hCoV-19/Morocco/FMP321-90/2021
Derly Andrade Molina et al	8	unknown	unknown	unknown	hCoV-19/Ecuador/UEES-ECU469/2020,hCoV-19/Ecuador/UEES-12179/2021,hCoV-19/Ecuador/UEES-INTERLAB-6804938/2021,hCoV-19/Ecuador/UEES-UG-INTERLAB-6914781/2021,hCoV-19/Ecuador/UEES-HLV-1014/2021,hCoV-19/Ecuador/UEES-INTERLAB-6800714/2021,hCoV-19/Ecuador/UEES-INTERLAB-6849372/2021,hCoV-19/Ecuador/UEES-UG-INTERLAB-16584/2021
Cristian Peréz-Corrales et al	1	unknown	unknown	unknown	hCoV-19/CostaRica/HNN-0375/2020
Dr. Varsha Potdar et al	3	unknown	unknown	unknown	hCoV-19/India/GJ-ICMR-NIV-INSACOG-GSEQ-569/2020,hCoV-19/India/MH-ICMR-NIV-INSACOG-GSEQ-6153/2021,hCoV-19/India/MH-ICMR-NIV-INSACOG-GSEQ-6145/2021
Andani Eka Putra et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/SB-50-FKUA/2020
Rahul P Salunke et al	1	unknown	unknown	unknown	hCoV-19/SaudiArabia/KAUST-JEDDAH887/2020
Belén Prado-Vivar et al	6	unknown	unknown	unknown	hCoV-19/Ecuador/USFQ-226/2020,hCoV-19/Ecuador/USFQ-569/2021,hCoV-19/Ecuador/USFQ-568/2020,hCoV-19/Ecuador/USFQ-531/2020,hCoV-19/Ecuador/USFQ-1889/2021,hCoV-19/Ecuador/USFQ-2109/2021
Liidia Dotsenko et al.	14	unknown	unknown	unknown	hCoV-19/Estonia/15738342/2021,hCoV-19/Estonia/15956553/2021,hCoV-19/Estonia/17577636/2021,hCoV-19/Estonia/17315044/2021,hCoV-19/Estonia/RC0080586/2021,hCoV-19/Estonia/RC0021999/2021,hCoV-19/Estonia/15694394/2021,hCoV-19/Estonia/RC0024166/2021,hCoV-19/Estonia/17727344/2021,hCoV-19/Estonia/RC0023389/2021,hCoV-19/Estonia/17359698/2021,hCoV-19/Estonia/RC0033718/2021,hCoV-19/Estonia/RC0034148/2021,hCoV-19/Estonia/16631908/2021
Samojlov A.E. et al	1	unknown	unknown	unknown	hCoV-19/Crimea/UA43-CRIE-L189B0546b/2021
Cathy Paulino et al	1	unknown	unknown	unknown	hCoV-19/Portugal/IGC4024/2020
Oskar Karlsson Lindsjo et al	2	unknown	unknown	unknown	hCoV-19/Sweden/20-51988/2020,hCoV-19/Sweden/20-51891/2020
Authors from IBT et al	7	unknown	unknown	unknown	hCoV-19/Mexico/BCS-InDRE-IBT-63/2020,hCoV-19/Mexico/TLA-InDRE-IBT-16/2020,hCoV-19/Mexico/ROO-InDRE-IBT-12/2020,hCoV-19/Mexico/CHH-InDRE-IBT-104/2020,hCoV-19/Mexico/CHH-IBT-IMSS-439/2020,hCoV-19/Mexico/CMX-INER-IBT-128/2021,hCoV-19/Mexico/OAX-IBT-IMSS-443/2020
Sully Márquez et al	2	unknown	unknown	unknown	hCoV-19/Ecuador/USFQ-1296/2021,hCoV-19/Ecuador/USFQ-2073/2021
Jilini et al	3	unknown	unknown	unknown	hCoV-19/SolomonIslands/SOL007/2020,hCoV-19/SolomonIslands/SOL011/2021,hCoV-19/SolomonIslands/SOL004/2020
Artem Fadeev et al	1	unknown	unknown	unknown	hCoV-19/Russia/OMS-ORINFI-4814S/2020
